symbol,date,price
population,Jan 2005,221997 
population,Jan 2006,229947 
population,Jan 2007,226683 
population,Jan 2008,224983 
population,Jan 2009,225388 
population,Jan 2010,229452 
population,Jan 2011,228963 
population,Jan 2012,230006 
population,Jan 2013,229426 
income,Jan 2005,48808 
income,Jan 2006,49534 
income,Jan 2007,50175 
income,Jan 2008,52463 
income,Jan 2009,51927 
income,Jan 2010,51597 
income,Jan 2011,50171 
income,Jan 2012,51016 
income,Jan 2013,51134 
crime,Jan 2005,1438 
crime,Jan 2006,1642 
crime,Jan 2007,1456 
crime,Jan 2008,1245 
crime,Jan 2009,1394 
crime,Jan 2010,1442.2 
crime,Jan 2011,1173.6 
crime,Jan 2012,919.4 
crime,Jan 2013,871.9 
