symbol,date,price
population,Jan 2005,799156 
population,Jan 2006,802579 
population,Jan 2007,806647 
population,Jan 2008,810842 
population,Jan 2009,817785 
population,Jan 2010,830952 
population,Jan 2011,836757 
population,Jan 2012,844217 
population,Jan 2013,852866 
income,Jan 2005,59528 
income,Jan 2006,58739 
income,Jan 2007,59658 
income,Jan 2008,58067 
income,Jan 2009,54746 
income,Jan 2010,52209 
income,Jan 2011,52642 
income,Jan 2012,52560 
income,Jan 2013,51087
crime,Jan 2005,1148
crime,Jan 2006,1093
crime,Jan 2007,1304
crime,Jan 2008,1276
crime,Jan 2009,1255
crime,Jan 2010,1193
crime,Jan 2011,1172
crime,Jan 2012,1199
crime,Jan 2013,966
