symbol,date,price
population,Jan 2005,1518000 
population,Jan 2006,1520000 
population,Jan 2007,1530000 
population,Jan 2008,1540000 
population,Jan 2009,1547000 
population,Jan 2010,1529000 
population,Jan 2011,1538000 
population,Jan 2012,1549000 
population,Jan 2013,1553000 
income,Jan 2005,63904 
income,Jan 2006,64229 
income,Jan 2007,65509 
income,Jan 2008,65887 
income,Jan 2009,65232 
income,Jan 2010,62068 
income,Jan 2011,60405 
income,Jan 2012,60978 
income,Jan 2013,60482
crime,Jan 2005,1258
crime,Jan 2006,1318
crime,Jan 2007,1255
crime,Jan 2008,1257
crime,Jan 2009,1151
crime,Jan 2010,1103
crime,Jan 2011,1064
crime,Jan 2012,756
crime,Jan 2013,995
