symbol,date,price
population,Jan 2005,232137
population,Jan 2006,231368
population,Jan 2007,230618
population,Jan 2008,230228
population,Jan 2009,230131
population,Jan 2010,212107
population,Jan 2011,233475
population,Jan 2012,211441
population,Jan 2013,212113
income,Jan 2005,52266
income,Jan 2006,51452
income,Jan 2007,53024
income,Jan 2008,53359
income,Jan 2009,48728
income,Jan 2010,47240
income,Jan 2011,47265
income,Jan 2012,47442
income,Jan 2013,48328
crime,Jan 2005,1124 
crime,Jan 2006,1124 
crime,Jan 2007,1165 
crime,Jan 2008,1188 
crime,Jan 2009,1069 
crime,Jan 2010,1642
crime,Jan 2011,1048
crime,Jan 2012,1130
crime,Jan 2013,1059
