symbol,date,price
population,Jan 2005,277998 
population,Jan 2006,274740 
population,Jan 2007,272492 
population,Jan 2008,271220 
population,Jan 2009,270240 
population,Jan 2010,261130 
population,Jan 2011,260334 
population,Jan 2012,259387 
population,Jan 2013,258959 
income,Jan 2005,50492 
income,Jan 2006,49485 
income,Jan 2007,50380 
income,Jan 2008,51820 
income,Jan 2009,49752 
income,Jan 2010,49595 
income,Jan 2011,48763 
income,Jan 2012,50999 
income,Jan 2013,50548 
crime,Jan 2005,1031 
crime,Jan 2006,1025 
crime,Jan 2007,933 
crime,Jan 2008,978 
crime,Jan 2009,1029 
crime,Jan 2010,967 
crime,Jan 2011,878
crime,Jan 2012,884
crime,Jan 2013,860
