symbol,date,price
population,Jan 2005,449188 
population,Jan 2006,442409 
population,Jan 2007,438068 
population,Jan 2008,434023 
population,Jan 2009,431369 
population,Jan 2010,396009 
population,Jan 2011,392495 
population,Jan 2012,391294 
population,Jan 2013,390113 
income,Jan 2005,52838 
income,Jan 2006,53059 
income,Jan 2007,54182 
income,Jan 2008,53236 
income,Jan 2009,49300 
income,Jan 2010,49393 
income,Jan 2011,47577 
income,Jan 2012,47626 
income,Jan 2013,49358
crime,Jan 2005,900 
crime,Jan 2006,1028 
crime,Jan 2007,1494 
crime,Jan 2008,1407 
crime,Jan 2009,1296 
crime,Jan 2010,1106 
crime,Jan 2011,1254
crime,Jan 2012,1090
crime,Jan 2013,875
