symbol,date,price
population,Jan 2005,417650 
population,Jan 2006,414221 
population,Jan 2007,410559 
population,Jan 2008,400769 
population,Jan 2009,433136 
population,Jan 2010,431196 
population,Jan 2011,424662 
population,Jan 2012,412460 
population,Jan 2013,390768 
income,Jan 2005,46946 
income,Jan 2006,47326 
income,Jan 2007,47029 
income,Jan 2008,48454 
income,Jan 2009,49898 
income,Jan 2010,53352 
income,Jan 2011,55311 
income,Jan 2012,53882 
income,Jan 2013,51418
crime,Jan 2005,1569
crime,Jan 2006,1580
crime,Jan 2007,1604
crime,Jan 2008,1530
crime,Jan 2009,1359
crime,Jan 2010,1218
crime,Jan 2011,1193
crime,Jan 2012,1130
crime,Jan 2013,1077
