symbol,date,price
population,Jan 2005,921149 
population,Jan 2006,918849 
population,Jan 2007,917234 
population,Jan 2008,912632 
population,Jan 2009,910921 
population,Jan 2010,711299 
population,Jan 2011,703284 
population,Jan 2012,698582 
population,Jan 2013,688701 
income,Jan 2005,60601 
income,Jan 2006,60083 
income,Jan 2007,59030 
income,Jan 2008,56747 
income,Jan 2009,52710 
income,Jan 2010,51494 
income,Jan 2011,50717 
income,Jan 2012,51041 
income,Jan 2013,51857
crime,Jan 2005,1472 
crime,Jan 2006,1514 
crime,Jan 2007,1419 
crime,Jan 2008,100 
crime,Jan 2009,1313 
crime,Jan 2010,2222 
crime,Jan 2011,1147
crime,Jan 2012,1148
crime,Jan 2013,1139
